talk_id,url,title,description,film_date,duration,views,main_tag,speaker_id,laughter_count,applause_count,language,event_id
84216,https://www.ted.com/talks/christina_costa_how_gratitude_rewires_your_brain,How gratitude rewires your brain,"When a psychologist who studies well-being ends up with a brain tumor, what happens when she puts her own research into practice? Christina Costa goes beyond the ""fight"" narrative of cancer -- or any formidable personal journey -- to highlight the brain benefits of an empowering alternative to fostering resilience in the face of unexpected challenges: gratitude.",2021-03-27,600,718724,health,6625,0.0,0.0,English,309
66033,https://www.ted.com/talks/caitlin_holman_how_game_design_can_help_schooling,How game design can help schooling,The world is changing rapidly but models of decades-old schooling still influence educational systems in ways that leave students with few reasons to truly excel. Education researcher Caitlin Holman explains how game design principles engineered to keep players motivated can be co-opted to revitalize schools and improve educational outcomes.,2017-02-08,1043,46441,education,53443,,,English,309
21933,https://www.ted.com/talks/terri_conley_we_need_to_rethink_casual_sex,We need to rethink casual sex ,"Social psychologist and sex researcher Terri Conley thinks it's high time we stop feeling guilty about enjoying casual sex—no matter what society says. In this entertaining talk, Conley interrogates three common myths about sexuality and gender and suggests a few new, guilt-free ways to think about our sex lives.",2016-04-01,1091,273438,society,5107,0.0,0.0,English,309
2022,https://www.ted.com/talks/anne_curzan_what_makes_a_word_real,"What makes a word ""real""?","One could argue that slang words like ‘hangry,’ ‘defriend’ and ‘adorkable’ fill crucial meaning gaps in the English language, even if they don't appear in the dictionary. After all, who actually decides which words make it into those pages? Language historian Anne Curzan gives a charming look at the humans behind dictionaries, and the choices they make.",2014-03-15,1033,2031550,culture,1938,12.0,4.0,English,309
83538,https://www.ted.com/talks/jane_walsh_the_rise_of_predatory_scams_and_how_to_prevent_them,The rise of predatory scams -- and how to prevent them,"Questionable phone calls, concerning emails, heart-rending stories from a sudden new friend in need of endless financial support: elder abuse can take many forms, says lawyer Jane Walsh. And as technology becomes more sophisticated, susceptibility to tricks and scams will increase -- no matter a person's age or intellect. Walsh spotlights the rise of this predatory crime, why it goes undetected and how you can protect your loved ones' kindness, dignity and self-respect from being manipulated.",2021-06-26,833,802109,technology,6606,0.0,0.0,English,233
81821,https://www.ted.com/talks/rebecca_galemba_how_employers_steal_from_workers_and_get_away_with_it_sep_2021,How employers steal from workers -- and get away with it,"When you work, you expect to be paid for it. Except, for millions of Americans employed across a range of industries like restaurants and construction, that's not always the case. Anthropologist Rebecca Galemba explores the multibillion-dollar problem of wage theft and how employers get away with it, highlighting the changes needed for them to pay up -- and fairly.",2021-03-20,578,1199939,economics,6540,0.0,0.0,English,233
80115,https://www.ted.com/talks/kevin_j_krizek_how_covid_19_reshaped_us_cities,How COVID-19 reshaped US cities,"The pandemic spurred an unprecedented reclamation of urban space, ushering in a seemingly bygone era of pedestrian pastimes, as cars were sidelined in favor of citizens. Highlighting examples from across the United States, environmental designer Kevin J. Krizek reflects on how temporary shifts -- like transforming streets into places for dining, recreation and community -- can become permanent fixtures that make for more livable and sustainable cities.",2021-03-20,581,1306282,cities,6484,,,English,233
74616,https://www.ted.com/talks/katherine_m_gehl_us_politics_isn_t_broken_it_s_fixed, US politics isn't broken. It's fixed,"The ""broken"" US political system is actually working exactly as designed, says business leader and activist Katherine Gehl. Examining the system through a nonpartisan lens, she makes the case for voting innovations, already implemented in parts of the country, that give citizens more choice and incentivize politicians to work towards progress and solutions instead of just reelection.",2020-12-05,1009,1264323,social change,6306,0.0,0.0,English,233
74282,https://www.ted.com/talks/amber_mcreynolds_an_election_system_that_puts_voters_not_politicians_first,An election system that puts voters (not politicians) first,"From hours-long lines and limited polling locations to confusing and discriminatory registration policies, why is it so hard to vote in the US? Voting rights expert Amber McReynolds offers a proven alternative: a new process, already happening in parts of the country, that could bring accountability, transparency and equity to the outdated and sputtering system that American democracy currently relies on.",2020-08-29,619,1288197,society,6301,0.0,0.0,English,233
75168,https://www.ted.com/talks/joan_c_williams_why_corporate_diversity_programs_fail_and_how_small_tweaks_can_have_big_impact,Why corporate diversity programs fail -- and how small tweaks can have big impact,"Companies in the US spend billions of dollars each year on diversity, equity and inclusion initiatives, but subtle (and not so subtle) workplace biases often cost these initiatives -- and the people they're meant to help -- big time by undermining their goals. DEI expert Joan C. Williams identifies five common patterns of bias that cause these programs to fail -- and offers a data-driven approach to pinpoint where things go wrong and how to make progress instead.",2020-12-05,883,1252694,business,6314,0.0,0.0,English,233
73954,https://www.ted.com/talks/leslie_herod_what_if_mental_health_workers_responded_to_emergency_calls,What if mental health workers responded to emergency calls?,"When you report an emergency in the US, police, firefighters or paramedics answer the call. What if mental health professionals responded, too? Colorado State Representative Leslie Herod shares a straightforward and research-backed approach that brings heart and humanity to criminal justice rather than unnecessary fines and arrests -- and keeps crises from escalating into traumatic, or even deadly, events.",2020-12-05,583,1319833,social change,6285,0.0,0.0,English,233
72994,https://www.ted.com/talks/sarah_kurnick_aliens_built_the_pyramids_and_other_absurdities_of_pseudo_archaeology,"""Aliens built the pyramids"" and other absurdities of pseudo-archaeology","Aliens have invaded ancient history: they've cropped up in humanity's past through popular television and movies, displacing facts with absurd yet commonplace beliefs like ""aliens built the pyramids."" Archaeologist Sarah Kurnick illustrates why these misconceptions perpetuate racist and xenophobic notions of history and culture -- and demonstrates how you can help debunk these dangerous, outlandish myths.",2020-08-29,723,1634253,history,6262,0.0,0.0,English,233
