author_id,speaker_name,speaker_occupation,speaker_description
2,Al Gore,Climate advocate,Nobel Laureate Al Gore focused the world's attention on the global climate crisis.
3,Amy Smith,inventor,"Amy Smith designs cheap, practical fixes for tough problems in developing countries. Among her many accomplishments, the MIT engineer received a MacArthur ""genius"" grant in 2004 and was the first woman to win the Lemelson-MIT Prize for turning her ideas into inventions."
4,Ashraf Ghani,President of Afghanistan,"Afghanistan's president Ashraf Ghani has initiated sweeping economic, trade, social and peace reforms."
5,Burt Rutan,Aircraft engineer,"In 2004, legendary spacecraft designer Burt Rutan won the $10M Ansari X-Prize for <em>SpaceShipOne,</em> the first privately funded craft to enter space twice in a two-week period. He's now collaborating with Virgin Galactic to build the first rocketship for space tourism."
6,Chris Bangle,Car designer,"Car design is a ubiquitous but often overlooked art form. As chief of design for the BMW Group, Chris Bangle has overseen cars that have been seen the world over, including BMW 7 Series and the Z4 roadster."
7,Craig Venter,Biologist,"In 2001, Craig Venter made headlines for sequencing the human genome. In 2003, he started mapping the ocean's biodiversity. And now he's created the first synthetic lifeforms -- microorganisms that can produce alternative fuels."
8,David Pogue,Technology columnist,"David Pogue is the personal technology columnist for the <em>New York Times</em> and a tech correspondent for CBS News. He's also one of the world's bestselling how-to authors, with titles in the For Dummies series and his own line of ""Missing Manual"" books."
9,David Rockwell,Architect,"Architect David Rockwell draws on his love of drama and spectacle to create fantastic, high-impact restaurants, cultural facilities, airline terminals, theater sets -- and playgrounds."
10,Dean Kamen,Inventor,"Dean Kamen landed in the limelight with the Segway, but he has been innovating since high school, with more than 150 patents under his belt. Recent projects include portable energy and water purification for the developing world, and a prosthetic arm for maimed soldiers."
11,Dean Ornish,Physician,Dean Ornish is a clinical professor at UCSF and founder of the Preventive Medicine Research Institute. He's a leading expert on fighting illness -- particularly heart disease with dietary and lifestyle changes.
12,Jane Goodall,Primatologist,"Dubbed ""the woman who redefined man"" by her biographer, Jane Goodall has changed our perceptions of primates, people and the connection between the two."
13,Eva Vertes,Neuroscience and cancer researcher,"Eva Vertes is a microbiology prodigy. Her discovery, at age 17, of a compound that stops fruit-fly brain cells from dying was regarded as a step toward curing Alzheimer's. Now she aims to find better ways to treat -- and avoid -- cancer."
14,Frank Gehry,Architect,"A living legend, Frank Gehry has forged his own language of architecture, creating astonishing buildings all over the world, such as the Guggenheim in Bilbao, the Walt Disney Concert Hall in LA, and Manhattan's new IAC building."
15,Golan Levin,Experimental audio-visual artist,"Half performance artist, half software engineer, Golan Levin manipulates the computer to create improvised soundscapes with dazzling corresponding visuals. He is at the forefront of defining new parameters for art."
17,Helen Fisher,Anthropologist,Anthropologist Helen Fisher studies gender differences and the evolution of human emotions. She’s best known as an expert on romantic love.
19,Janine Benyus,Science writer,"A self-proclaimed nature nerd, Janine Benyus' concept of biomimicry has galvanized scientists, architects, designers and engineers into exploring new ways in which nature's successes can inspire humanity."
20,Kevin Kelly,Editor,Kevin Kelly packages ideas -- both other people's and his own.
21,Malcolm Gladwell,Writer,"Detective of fads and emerging subcultures, chronicler of jobs-you-never-knew-existed, Malcolm Gladwell's work is toppling the popular understanding of bias, crime, food, marketing, race, consumers and intelligence."
22,Mena Trott,Blogger; cofounder,"Mena Trott and her husband Ben founded Six Apart in a spare bedroom after the blogging software they developed grew beyond a hobby. With products Movable Type, TypePad, LiveJournal and Vox, the company has helped lead the ""social media"" revolution."
23,Michael Shermer,Skeptic,"Michael Shermer debunks myths, superstitions and urban legends -- and explains why we believe them. Along with publishing Skeptic Magazine, he's author of Why People Believe Weird Things and The Mind of the Market."
24,Peter Gabriel,Musician,"Peter Gabriel writes incredible songs but, as the co-founder of WITNESS and TheElders.org, is also a powerful human rights advocate."
25,Pilobolus,Dance company,"This collaborative dance company is acclaimed for its mix of humor, invention, and drama. Drawing inspiration from biology (how many dance troupes would name themselves after a fungus that thrives in cow dung?), Pilobolus has created a dance vocabulary all its own."
26,Richard Baraniuk,Education visionary,"Richard Baraniuk founded Connexions -- now called OpenStax -- a free, open-source, global clearinghouse of course materials. Students and educators tap into its vast store of texts on everything from engineering to ornithology to music, adapting the content as they see fit."
27,Rives,Performance poet,"Performance artist and storyteller Rives has been called ""the first 2.0 poet,"" using images, video and technology to bring his words to life."
28,Ross Lovegrove,Industrial designer,"Known as ""Captain Organic,"" Ross Lovegrove embraces nature as the inspiration for his ""fat-free"" design. Each object he creates -- be it bottle, chair, staircase or car -- is reduced to its essential elements. His pieces offer minimal forms of maximum beauty."
29,Seth Godin,Marketer and author,Seth Godin is an entrepreneur and blogger who thinks about the marketing of ideas in the digital age. His newest interest: the tribes we lead.
30,Steven Levitt,Economist,"Steven Levitt's eye-opening <em>Freakonomics</em> took economic theory into the real world of suburban parenting and urban drug gangs, turning conventional wisdom upside-down."
31,Thom Mayne,Architect,"Founder of the influential studio Morphosis, and co-founder of the Southern California Institute of Architecture, Pritzker Prize-winning architect Thom Mayne marries conceptual ideas with form, challenging the way we perceive structure, building and the environment."
32,Vik Muniz,Artist,"Vik Muniz delights in subverting a viewer's expectations. He uses unexpected materials to create portraits, landscapes and still lifes, which he then photographs."
33,Thomas Barnett,Military strategist,Strategic planner Thomas Barnett has advised US leaders on national security since the end of the Cold War. His bold ideas about the future of warfare and the military are spelled out in his best-selling book <em>The Pentagon's New Map.</em>
34,Aubrey de Grey,Crusader against aging,"Aubrey de Grey, British researcher on aging, claims he has drawn a roadmap to defeat biological aging. He provocatively proposes that the first human beings who will live to 1,000 years old have already been born."
35,Frans Lanting,Nature photographer,"Frans Lanting is one of the greatest nature photographers of our time. His work has been featured in National Geographic, Audubon andTime, as well as numerous award-winning books. Lanting's recent exhibition, The LIFE Project, offers a lyrical interpretation of the history of life on Earth."
36,James Watson,Biologist,"Nobel laureate James Watson took part in one of the most important scientific breakthroughs of the 20th century: the discovery of the structure of DNA. More than 50 years later, he continues to investigate biology's deepest secrets."
37,Jimmy Wales,Founder of Wikipedia,"With a vision for a free online encyclopedia, Wales assembled legions of volunteer contributors, gave them tools for collaborating, and created the self-organizing, self-correcting, ever-expanding, multilingual encyclopedia of the future."
38,Nicholas Negroponte,Tech visionary,"The founder of the MIT Media Lab, Nicholas Negroponte pushed the edge of the information revolution as an inventor, thinker and angel investor. He's the driving force behind One Laptop per Child, building computers for children in the developing world."
39,Nick Bostrom,Philosopher,"Nick Bostrom works on big questions: What should we do, as individuals and as a species, to optimize our long-term prospects?"
40,Paul Bennett,Designer; creative director,"As a creative director at Ideo, Paul Bennett reminds us that design need not invoke grand gestures or sweeping statements to be successful, but instead can focus on the little things in life, the obvious, the overlooked."
41,Phil Borges,Photographer,"Dentist-turned-photographer Phil Borges documents the world's disappearing cultures, capturing portraits of exiled Tibetan monks and many of the world’s embattled tribal and indigenous cultures."
42,Ray Kurzweil,Inventor,"Ray Kurzweil is an engineer who has radically advanced the fields of speech, text and audio technology. He's revered for his dizzying -- yet convincing -- writing on the advance of technology, the limits of biology and the future of the human species."
43,Robert Neuwirth,Author,Robert Neuwirth’s writings on the street-level reality of the developing world have opened a new dialogue on development and economics.
44,Martin Rees,Astrophysicist,"Lord Martin Rees, one of the world's most eminent astronomers, is an emeritus professor of cosmology and astrophysics at the University of Cambridge and the UK's Astronomer Royal. He is one of our key thinkers on the future of humanity in the cosmos."
45,Sirena Huang,Violinist,"Sirena Huang started taking violin lessons at age 4 and made her professional solo debut at 9 with the Taiwan Symphony Orchestra. She has won top prizes in numerous international competitions, delighting audiences worldwide with her virtuosity and charm."
46,Jennifer Lin,Pianist,"Concert pianist and composer Jennifer Lin was only 14 when she performed at TED, drawing tears with her extraordinary improvisation."
47,Amory Lovins,Physicist,"In his new book, ""Reinventing Fire,"" Amory Lovins shares ingenious ideas for the next era of energy."
48,David Deutsch,Physicist,"A pioneer in quantum computation and quantum information theory, David Deutsch now seeks to define the boundaries between the possible and the impossible."
